Placement,Player(s),Earnings,Liquipedia ID's,Region,Gamemode,Max Teams,Total Teams,Start Date,End Date,URL
1,vic0;Malibuca,250000,/fortnite/Vic0try0na;/fortnite/Malibuca,Global,Duos,50,75,2026-05-29,2026-05-31,https://liquipedia.net/fortnite/Fortnite_Champion_Series/2026/Major_1/Summit/Global
2,Peterbot;Pollo,150000,/fortnite/Peterbot;/fortnite/Pollo,,,,,,,
3,shxrk;t3eny,100000,/fortnite/Shark;/fortnite/T3enyy,,,,,,,
4,Sky;Scroll,70000,/fortnite/Skyboy;/fortnite/Scroll,,,,,,,
5,Acorn;Boltz,60000,/fortnite/Acorn;/fortnite/Boltz,,,,,,,
6,Kingaling;Kraez,50000,/fortnite/Kingaling;/fortnite/Kraez,,,,,,,
7,Reet;Cooper,40000,/fortnite/Reet;/fortnite/Cooper,,,,,,,
8,Shadow;Vergo,35000,/fortnite/Shadow;/fortnite/Vergo,,,,,,,
9,SwizzY;Pixie,30000,/fortnite/SwizzY;/fortnite/Pixie,,,,,,,
10,Darm;Demus,25000,/fortnite/Darm;/fortnite/Demus,,,,,,,
11,Syaaz;Scary,20000,/fortnite/Syaaz;/fortnite/Scary,,,,,,,
12,FoCuS;Th0masHD,19000,/fortnite/FoCuS;/fortnite/Th0masHD,,,,,,,
13,Golden;Ozone,18000,/fortnite/Golden;/fortnite/Ozone,,,,,,,
14,Tjino;PabloWingu,17000,/fortnite/Tjino;/fortnite/PabloWingu,,,,,,,
15,Chap;Flickzy,16000,/fortnite/Chap_(Swiss_player);/fortnite/Flickzy,,,,,,,
16,charyy;Kami,15000,/fortnite/Charyy;/fortnite/Kami,,,,,,,
17,Ajerss;Ritual,14000,/fortnite/Ajerss;/fortnite/Ritual,,,,,,,
18,Cold;Rapid,13000,/fortnite/Cold;/fortnite/Rapid,,,,,,,
19,Cr1nge;Twi,12000,/fortnite/Cr1nge;/fortnite/Twi,,,,,,,
20,Japko;panzer,11000,/fortnite/Japko;/fortnite/Panzer,,,,,,,
21,Akiira;Kurama,10000,/fortnite/Akiira;/fortnite/Kurama,,,,,,,
22,EpikWhale;PXMP,10000,/fortnite/EpikWhale;/fortnite/Pxmp,,,,,,,
23,SkyJump;Momsy,10000,/fortnite/Skyjump;/fortnite/Momsy,,,,,,,
24,Tiggz;DaNicush,10000,/fortnite/Tiggz;/fortnite/DaNicush,,,,,,,
25,Resignz;Tinka,10000,/fortnite/Resignz;/fortnite/Tinka,,,,,,,
26,Cringe;Volko,9000,/fortnite/Cringe;/fortnite/Volko,,,,,,,
27,Minori;Darkos,9000,/fortnite/Minori;/fortnite/Darkos,,,,,,,
28,Lewa;Romero,9000,/fortnite/Lewa;/fortnite/Romero,,,,,,,
29,Belusi;Zangi,9000,/fortnite/Belusi;/fortnite/Zangi,,,,,,,
30,Nutifps;Gabzera,9000,/fortnite/Nutifps;/fortnite/Gabzeralindo,,,,,,,
31,liamtfup;Jayse1x,8000,/fortnite/Liamtfup;/fortnite/Jayse1x,,,,,,,
32,VicterV;Khanada,8000,/fortnite/VicterV;/fortnite/Khanada,,,,,,,
33,nvtylerh;Channce,8000,/fortnite/Nvtylerh;/fortnite/Channce,,,,,,,
34,Vadeal;Juu,8000,/fortnite/Vadeal;/fortnite/Juu,,,,,,,
35,xavifw;Aminished,8000,/fortnite/Xavifw;/fortnite/Aminished,,,,,,,
36,pixx;ghost,7000,/fortnite/Pixx;/fortnite/Ghost,,,,,,,
37,Curve;Veno,7000,/fortnite/Curve;/fortnite/Veno,,,,,,,
38,Minipiyo;FuuKun,7000,/fortnite/Minipiyo;/fortnite/FuuKun,,,,,,,
39,alex;Wreckless,7000,/fortnite/Alex;/fortnite/Wreckless,,,,,,,
40,Cazi;Deymo,7000,/fortnite/Cazi;/fortnite/Deymo,,,,,,,
41,LBworks;Bot,6000,/fortnite/LBworks;/fortnite/%E3%81%BC%E3%81%A3%E3%81%A8,,,,,,,
42,Izzi;Nociff,6000,/fortnite/Izzi;/fortnite/Nociff,,,,,,,
43,QnDx;Phantom,6000,/fortnite/QnDx;/fortnite/Phantom,,,,,,,
44,KING;Teuzz,6000,/fortnite/KING;/fortnite/Teuzz,,,,,,,
45,josh;Eomzo,6000,/fortnite/Josh;/fortnite/Eomzo,,,,,,,
46,Noahreyli;rezon ay,6000,/fortnite/Noahreyli;/fortnite/Rezon_ay,,,,,,,
47,Werex;kiduoo,6000,/fortnite/Werex;/fortnite/Kiduoo,,,,,,,
48,FKS;Hero,6000,/fortnite/FKS;/fortnite/Hero,,,,,,,
49,Rainy;Nalu,6000,/fortnite/Rainy;/fortnite/Nalu,,,,,,,
50,51Cole;Maddenv,6000,/fortnite/51Cole;/fortnite/Maddenv,,,,,,,
